Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
25,male,skilled,rent,quite rich,moderate,3213,18,radio/TV,1
33,male,highly skilled,own,little,moderate,4439,18,business,1
37,male,unskilled and resident,own,little,rich,3949,10,car,1
43,female,unskilled and resident,own,little,none,1459,15,radio/TV,1
23,male,skilled,own,little,moderate,882,13,radio/TV,1
23,female,unskilled and non-resident,rent,quite rich,moderate,3758,24,radio/TV,1
34,male,unskilled and resident,own,moderate,none,1743,6,business,1
32,male,skilled,free,rich,moderate,1136,9,education,0
23,female,skilled,rent,little,none,1236,9,domestic appliances,1
29,female,skilled,own,little,moderate,959,9,furniture/equipment,0
38,male,highly skilled,own,none,none,3229,18,car,1
28,male,skilled,rent,little,little,6199,12,radio/TV,0
46,male,skilled,free,quite rich,none,727,10,education,1
23,male,unskilled and resident,own,little,moderate,1246,24,car,0
49,male,skilled,own,none,none,2331,12,radio/TV,1
26,male,highly skilled,own,little,none,4463,36,radio/TV,0
28,male,skilled,own,little,none,776,12,radio/TV,1
23,female,skilled,rent,little,little,2406,30,furniture/equipment,0
61,male,skilled,free,none,moderate,1239,18,education,1
37,male,highly skilled,own,none,rich,3399,12,radio/TV,1
36,female,skilled,own,little,rich,2247,12,car,1
21,male,skilled,rent,little,none,1766,6,furniture/equipment,1
25,male,unskilled and non-resident,own,little,little,2473,18,furniture/equipment,0
36,male,skilled,own,little,none,1542,12,business,1
27,male,skilled,own,little,none,3850,18,car,1
22,female,skilled,rent,little,little,3650,18,furniture/equipment,1
42,male,skilled,own,little,little,3446,36,furniture/equipment,0
40,female,skilled,rent,little,moderate,3001,18,furniture/equipment,1
36,male,skilled,own,none,none,3079,36,car,1
33,male,skilled,own,little,none,6070,18,radio/TV,1
23,female,skilled,rent,little,none,2146,10,furniture/equipment,1
63,male,highly skilled,free,none,none,13756,60,car,1
60,female,highly skilled,free,moderate,moderate,14782,60,vacation/others,0
37,female,skilled,rent,little,little,7685,48,business,0
34,male,skilled,own,little,none,2320,18,radio/TV,1
36,male,skilled,free,none,none,846,7,radio/TV,1
57,male,highly skilled,free,little,moderate,14318,36,car,0
52,female,unskilled and resident,own,moderate,none,362,6,car,1
39,male,skilled,own,none,little,2212,20,furniture/equipment,1
38,female,highly skilled,free,little,moderate,12976,18,car,0
25,female,skilled,rent,none,none,1283,22,car,1
26,male,skilled,own,little,rich,1330,12,car,1
26,male,unskilled and resident,own,moderate,none,4272,30,business,1
25,female,skilled,own,little,none,2238,18,radio/TV,1
21,female,skilled,rent,none,none,1126,18,radio/TV,1
40,male,highly skilled,own,little,moderate,7374,18,furniture/equipment,1
27,male,skilled,own,quite rich,moderate,2326,15,business,1
27,female,skilled,own,little,none,1449,9,business,1
30,male,highly skilled,own,little,none,1820,18,car,1
19,female,unskilled and resident,rent,rich,moderate,983,12,furniture/equipment,1
39,male,highly skilled,free,little,little,3249,36,car,1
31,female,skilled,own,little,little,1957,6,radio/TV,1
31,male,highly skilled,own,little,none,2406,9,furniture/equipment,1
32,male,skilled,rent,moderate,moderate,11760,39,education,1
55,female,highly skilled,free,little,little,2578,12,furniture/equipment,1
46,male,skilled,own,little,little,2348,36,furniture/equipment,1
46,male,skilled,rent,little,moderate,1223,12,car,0
43,female,unskilled and resident,own,rich,none,1516,24,radio/TV,1
39,male,skilled,own,little,none,1473,18,radio/TV,1
28,male,skilled,own,none,moderate,1887,18,business,1
27,male,skilled,own,little,none,8648,24,business,0
27,male,unskilled and resident,own,little,none,802,14,car,1
43,male,skilled,own,none,moderate,2899,18,car,1
22,male,skilled,own,little,moderate,2039,24,radio/TV,0
43,male,skilled,own,none,none,2197,24,car,1
27,male,skilled,own,little,little,1053,15,radio/TV,1
26,male,highly skilled,own,quite rich,none,3235,24,radio/TV,1
28,male,skilled,own,quite rich,rich,939,12,car,0
20,female,skilled,own,little,moderate,1967,24,radio/TV,1
35,male,highly skilled,own,little,none,7253,33,car,1
42,male,highly skilled,own,little,none,2292,12,business,0
40,male,unskilled and resident,rent,quite rich,none,1597,10,car,1
35,female,skilled,own,none,little,1381,24,car,0
35,male,skilled,own,little,none,5842,36,car,1
33,male,unskilled and resident,own,little,little,2579,12,car,0
23,female,skilled,rent,none,little,8471,18,education,1
31,female,highly skilled,own,quite rich,none,2782,21,car,1
33,female,skilled,own,none,moderate,1042,18,car,0
20,female,skilled,rent,rich,none,3186,15,car,1
30,male,skilled,own,none,moderate,2028,12,car,1
47,male,unskilled and resident,own,little,moderate,958,12,car,1
34,male,highly skilled,own,moderate,none,1591,21,furniture/equipment,1
25,female,skilled,own,none,moderate,2762,12,furniture/equipment,0
21,male,skilled,rent,little,moderate,2779,18,car,1
29,male,skilled,own,little,none,2743,28,radio/TV,1
46,male,skilled,own,rich,none,1149,18,radio/TV,1
20,male,skilled,own,little,none,1313,9,furniture/equipment,1
55,female,unskilled and non-resident,free,little,little,1190,18,repairs,0
74,male,unskilled and resident,own,little,none,3448,5,business,1
29,male,highly skilled,own,little,moderate,11328,24,vacation/others,0
36,male,highly skilled,free,little,little,1872,6,furniture/equipment,1
33,male,skilled,own,little,none,2058,24,repairs,1
25,male,skilled,own,little,little,2136,9,furniture/equipment,1
25,male,skilled,own,none,moderate,1484,12,radio/TV,0
23,male,unskilled and resident,rent,quite rich,none,660,6,repairs,1
37,female,skilled,own,rich,none,1287,24,car,1
65,male,unskilled and non-resident,own,little,little,3394,42,repairs,1
26,female,unskilled and non-resident,own,little,rich,609,12,business,0
39,male,highly skilled,own,little,none,1884,12,car,1
30,female,skilled,own,little,little,1620,12,furniture/equipment,1
29,male,skilled,own,little,moderate,2629,20,vacation/others,1
41,male,unskilled and resident,own,little,none,719,12,education,0
30,female,highly skilled,own,little,moderate,5096,48,furniture/equipment,0
41,female,unskilled and resident,rent,none,none,1244,9,education,1
34,female,skilled,own,little,little,1842,36,car,0
35,male,skilled,own,little,moderate,2576,7,radio/TV,1
55,female,highly skilled,own,none,rich,1424,12,furniture/equipment,1
61,male,skilled,own,rich,moderate,1512,15,repairs,0
30,male,highly skilled,own,none,none,11054,36,car,1
29,female,skilled,own,little,none,518,6,radio/TV,1
34,male,skilled,own,little,none,2759,12,furniture/equipment,1
35,male,highly skilled,own,little,none,2670,24,car,1
31,male,skilled,own,little,little,4817,24,car,0
29,female,highly skilled,own,little,none,2679,24,car,1
36,male,skilled,rent,little,little,3905,11,car,1
35,male,skilled,free,little,little,3386,12,car,0
27,female,skilled,own,little,little,343,6,domestic appliances,1
32,male,skilled,own,little,none,4594,18,radio/TV,1
37,male,skilled,own,little,little,3620,36,furniture/equipment,1
36,male,skilled,own,little,little,1721,15,car,1
34,female,highly skilled,rent,little,moderate,3017,12,furniture/equipment,1
38,male,skilled,own,none,moderate,754,12,education,1
34,male,skilled,own,little,none,1950,18,business,1
63,male,skilled,own,little,little,2924,24,car,1
29,female,unskilled and resident,rent,little,little,1659,24,radio/TV,0
32,male,skilled,own,none,none,7238,48,radio/TV,1
26,female,skilled,own,little,none,2764,33,business,1
35,male,unskilled and resident,own,little,none,4679,24,car,1
22,male,skilled,rent,moderate,moderate,3092,24,radio/TV,0
23,female,skilled,own,little,little,448,6,education,0
28,male,unskilled and resident,own,little,little,654,9,car,0
36,male,highly skilled,own,none,none,1238,6,education,1
33,male,skilled,own,little,moderate,1245,18,radio/TV,0
26,female,skilled,rent,little,little,3114,18,furniture/equipment,0
24,male,skilled,own,quite rich,none,2569,39,car,1
25,male,skilled,own,little,rich,5152,24,radio/TV,1
39,male,unskilled and resident,own,moderate,moderate,1037,12,business,1
44,male,skilled,own,little,little,1478,15,furniture/equipment,1
23,female,unskilled and resident,own,little,moderate,3573,12,radio/TV,1
26,male,skilled,own,little,moderate,1201,24,car,1
57,female,skilled,rent,rich,little,3622,30,furniture/equipment,1
30,female,skilled,own,rich,none,960,15,furniture/equipment,1
44,male,skilled,own,quite rich,none,1163,12,car,1
47,male,highly skilled,own,little,moderate,1209,6,car,0
52,male,skilled,own,little,none,3077,12,radio/TV,1
62,female,skilled,free,little,none,3757,24,car,1
35,male,unskilled and resident,rent,moderate,none,1418,10,car,1
26,male,skilled,rent,little,none,3518,6,car,1
26,male,skilled,own,little,none,1934,12,radio/TV,1
42,female,highly skilled,free,little,moderate,8318,27,business,0
27,female,skilled,own,moderate,none,1237,6,radio/TV,1
38,male,skilled,own,none,moderate,368,6,radio/TV,1
39,male,unskilled and resident,rent,little,little,2122,12,car,1
20,male,skilled,own,none,little,2996,24,furniture/equipment,0
29,male,highly skilled,rent,moderate,moderate,9034,36,furniture/equipment,0
40,male,skilled,own,little,none,1585,24,furniture/equipment,1
32,male,unskilled and resident,own,little,moderate,1301,18,radio/TV,1
