source_paper_tag,Done (0 to 1),Method,Detail,Links,source_paper_bibliography,extra
kumar2020problems,1,test,"problem in how to interpret the shapley values in ML. Causal explanation, some limitation of shap, highliting the fact that some math properties might be useless for interpreting models. Finally in section 4 they highlight the fact that the shapley values (even if correctly calculated might not be the right explanation)",http://proceedings.mlr.press/v119/kumar20e/kumar20e.pdf,"@inproceedings{kumar2020problems,
  title={Problems with Shapley-value-based explanations as feature importance measures},
  author={Kumar, I Elizabeth and Venkatasubramanian, Suresh and Scheidegger, Carlos and Friedler, Sorelle},
  booktitle={International Conference on Machine Learning},
  pages={5491--5500},
  year={2020},
  organization={PMLR}
}",
tsang2021interpretable,1,survey,"recent survey about feature interaction xAI, no test

Additionally, if a higher-order interaction exists, all of its subsets also exist as interactions (Sorokina et al., 2008; Tsang et al., 2018a). -> TODO should we have a test for such a property ?",https://arxiv.org/pdf/2103.03103.pdf,"@article{tsang2021interpretable,
  title={Interpretable Artificial Intelligence through the Lens of Feature Interaction},
  author={Tsang, Michael and Enouen, James and Liu, Yan},
  journal={arXiv preprint arXiv:2103.03103},
  year={2021}
}","Examples of word interactions are “not, good” and “not, bad” in movie reviews. An example of an image interaction is a combination of image patches corresponding to the ears, nose, and eyes of a dog, which supports a dog classification. -> will not be included because it does not highlight any limit
sin(x1 +x2) just an example of pair f interaction was not used to demo any kind of limitation so no need to implement it"
molnar2020interpretable,1,survey,maybe i should reread it again and check if there is any test inthere,https://christophm.github.io/interpretable-ml-book/,"@book{molnar2020interpretable,
  title={Interpretable machine learning},
  author={Molnar, Christoph},
  year={2020},
  publisher={Lulu. com}
}",
chromik2021think,0.9,human interpretation,,http://www.medien.ifi.lmu.de/pubdb/publications/pub/chromik2021iui/chromik2021iui.pdf,"@inproceedings{chromik2021think,
  title={I think i get your point, AI! the illusion of explanatory depth in explainable AI},
  author={Chromik, Michael and Eiband, Malin and Buchner, Felicitas and Kr{\""u}ger, Adrian and Butz, Andreas},
  booktitle={26th International Conference on Intelligent User Interfaces},
  pages={307--317},
  year={2021}
}",
leavitt2020towards,0.1,human interpretation,how XAI alg should be structured and doccumented,https://arxiv.org/pdf/2010.12016.pdf,"@article{leavitt2020towards,
  title={Towards falsifiable interpretability research},
  author={Leavitt, Matthew L and Morcos, Ari},
  journal={arXiv preprint arXiv:2010.12016},
  year={2020}
}",
kearns2019ethical,0.1,human interpretation,how XAI alg should be structured and doccumented,,"@book{kearns2019ethical,
  title={The ethical algorithm: The science of socially aware algorithm design},
  author={Kearns, Michael and Roth, Aaron},
  year={2019},
  publisher={Oxford University Press}
}",
vstrumbelj2014explaining,0.1,aproximate shap,,,"@article{vstrumbelj2014explaining,
  title={Explaining prediction models and individual predictions with feature contributions},
  author={{\v{S}}trumbelj, Erik and Kononenko, Igor},
  journal={Knowledge and information systems},
  volume={41},
  number={3},
  pages={647--665},
  year={2014},
  publisher={Springer}
}",
lundberg2017unified,0.3,kernel shap,,,"@article{lundberg2017unified,
  title={A unified approach to interpreting model predictions},
  author={Lundberg, Scott M and Lee, Su-In},
  journal={Advances in neural information processing systems},
  volume={30},
  year={2017}
}",
sundararajan2017axiomatic,0.1,Integrated gradient,,,"@inproceedings{sundararajan2017axiomatic,
  title={Axiomatic attribution for deep networks},
  author={Sundararajan, Mukund and Taly, Ankur and Yan, Qiqi},
  booktitle={International conference on machine learning},
  pages={3319--3328},
  year={2017},
  organization={PMLR}
}",
lakkaraju2019faithful,0.1,survey,category of tests,https://dl.acm.org/doi/10.1145/3306618.3314229,"@inproceedings{lakkaraju2019faithful,
  title={Faithful and customizable explanations of black box models},
  author={Lakkaraju, Himabindu and Kamar, Ece and Caruana, Rich and Leskovec, Jure},
  booktitle={Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society},
  pages={131--138},
  year={2019}
}",
ribeiro2016should,0,lime,,,"@inproceedings{ribeiro2016should,
  title={ Why should i trust you? Explaining the predictions of any classifier},
  author={Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos},
  booktitle={Proceedings of the 22nd ACM SIGKDD international conference on knowledge discovery and data mining},
  pages={1135--1144},
  year={2016}
}",
staniak2018explanations,0,breakdown,,https://arxiv.org/abs/1804.01955,"@article{staniak2018explanations,
  title={Explanations of model predictions with live and breakDown packages},
  author={Staniak, Mateusz and Biecek, Przemyslaw},
  journal={arXiv preprint arXiv:1804.01955},
  year={2018}
}",
zhang2020interpretable,0.1,adv2,adversarial attacks using pytorch models,https://arxiv.org/abs/1812.00891   https://github.com/alps-lab/adv2,"@inproceedings{zhang2020interpretable,
  title={Interpretable deep learning under fire},
  author={Zhang, Xinyang and Wang, Ningfei and Shen, Hua and Ji, Shouling and Luo, Xiapu and Wang, Ting},
  booktitle={29th $\{$USENIX$\}$ Security Symposium ($\{$USENIX$\}$ Security 20)},
  year={2020}
}",
,0.4,test,change distrib to prove that f permutation is not a good idea,https://arxiv.org/pdf/1905.03151.pdf,,
amoukou2022accurate,0.3,test,shap is enable to explain dummy features correctly (one hot encoding),https://arxiv.org/pdf/2106.03820.pdf, "@inproceedings{amoukou2022accurate,
  title={Accurate Shapley Values for explaining tree-based models},
  author={Amoukou, Salim I and Salaun, Tangi and Brunel, Nicolas},
  booktitle={International Conference on Artificial Intelligence and Statistics},
  pages={2448--2465},
  year={2022},
  organization={PMLR}
}",
amoukou,0.8,test plus shapley-like xAI,a better xAI for explaining locally, https://github.com/salimamoukou/acv00/blob/main/papers/Shapley_Values_estimation_and_Active_Shapley_Values/ImportantVariablesAreGameChangersRevisitingShapleyValuesForExplainingBlackBoxModels.pdf,,
jethani2021have,,,,http://proceedings.mlr.press/v130/jethani21a/jethani21a.pdf,"@inproceedings{jethani2021have,
  title={Have We Learned to Explain?: How Interpretability Methods Can Learn to Encode Predictions in their Interpretations.},
  author={Jethani, Neil and Sudarshan, Mukund and Aphinyanaphongs, Yindalon and Ranganath, Rajesh},
  booktitle={International Conference on Artificial Intelligence and Statistics},
  pages={1459--1467},
  year={2021},
  organization={PMLR}
}",
ghalebikesabi2021locality,0.8,test,demo that the attribution (local explanation) of an interaction term using lime is wrong,https://proceedings.neurips.cc/paper/2021/file/995665640dc319973d3173a74a03860c-Paper.pdf,"@article{ghalebikesabi2021locality,
  title={On locality of local explanation models},
  author={Ghalebikesabi, Sahra and Ter-Minassian, Lucile and DiazOrdaz, Karla and Holmes, Chris C},
  journal={Advances in Neural Information Processing Systems},
  volume={34},
  year={2021}
}",
jeyakumar2020can,0.4,human evaluation,demo that humans prefer to use exmatchina,,"@article{jeyakumar2020can,
  title={How can i explain this to you? an empirical study of deep neural network explanation methods},
  author={Jeyakumar, Jeya Vikranth and Noor, Joseph and Cheng, Yu-Hsi and Garcia, Luis and Srivastava, Mani},
  journal={Advances in Neural Information Processing Systems},
  volume={33},
  pages={4211--4222},
  year={2020}
}",
plumb2018model,0,MAPLE,,,"@article{plumb2018model,
  title={Model agnostic supervised local explanations},
  author={Plumb, Gregory and Molitor, Denali and Talwalkar, Ameet S},
  journal={Advances in neural information processing systems},
  volume={31},
  year={2018}
}",
ghorbani2019interpretation,0,fragility,,,"@inproceedings{ghorbani2019interpretation,
  title={Interpretation of neural networks is fragile},
  author={Ghorbani, Amirata and Abid, Abubakar and Zou, James},
  booktitle={Proceedings of the AAAI conference on artificial intelligence},
  volume={33},
  number={01},
  pages={3681--3688},
  year={2019}
}",
