explainer,is_documented,is_implemented,source_paper_tag,description,source_code,implementation_link,supported_models,outputs,output_attribution,output_importance,output_interaction,supported_model_model_agnostic,supported_model_tree_based,supported_model_neural_network,required_input_data,required_input_truth_to_explain,required_input_predict_func,required_input_trained_model,required_input_ml_task,required_input_input_features,required_input_predict_proba,required_input_X,required_input_X_reference,time_per_test
L2X,0.25,,,https://github.com/Jianbo-Lab/L2X also implemented in liu2021synthetic see https://github.com/abacusai/xai-bench,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
MAHE: Model-Agnostic Hierarchical Explanations,0.25,,,"Model-Agnostic Hierarchical Explanations (MAHE) (Tsang et al., 2018b) trains a surrogate explainer models for interaction detection and attribution in a method similar to LIME. MAHE’s explanations are then fed through a NID model and final GAM to get the attributions. This methodology allows MAHE to provide explanations relatively quickly by not needing to look at the overall feature space. Because MAHE is trained on overlapping feature sets, MAHE can fail a lot of the desirable axioms satisfied by these other attribution methods. https://arxiv.org/pdf/2103.03103.pdf",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Mean Importance,0.25,,,feature importance cited in covert2020understanding,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Morris Sensitivity Analysis,,,,,see https://github.com/interpretml/interpret,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Permutation Test,0.25,,,"feature importance cited in covert2020understanding
also ""Shuffle-based feature importance permutes the data of each feature to ascertain its importance
in the final prediction in comparison to its normal prediction (Fisher et al., 2018)."" see https://arxiv.org/pdf/2103.03103.pdf",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
QII,0.25,,,see kumar2020problems,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
RBShap: Random Baseline Shapley,0.25,to implement,sundararajan2020many,"BShap that takes three inputs: An explicand x, a function f, and a distribution D. The attributions are the expected BShap values, where the baseline x' is drawn randomly according to the distribution D. This approach is implicit in [10] (see Equation 11). https://arxiv.org/pdf/1908.08474.pdf
",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
SCD: Sampling Contextual Decomposition,0.0,,,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
SHAPR,0.25,to implement,,implemented in liu2021synthetic see https://github.com/abacusai/xai-bench,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
SOC: Sampling Occlusion,0.0,,,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Shapley Regression,0.0,,,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Shapley Values,0.75,to finish implementing,,"There is an alternate permutation-based description of the Shapley value:
Order the players uniformly at random, add them one at a time in this order,
and assign to each player i its expected marginal contribution V (S ∪ i) − v(S);
here S is the set of players that precede i in the ordering. https://arxiv.org/pdf/1908.08474.pdf

is unique given a set of constrains",,,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)",False,True,False,True,True,True,,,,,,,,,,
TCAV,0.25,,,"Other methods are specifically designed for computer vision like TCAV (Kim et al., 2018) which finds a ‘concept direction’ corresponding to a large sample of concept images from the user. see  https://arxiv.org/pdf/2103.03103.pdf 
do not consider f Interaction",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Uniform,0.25,,Us,output uniform feature attribution,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Univariate Predictors,0.25,,,feature importance cited in covert2020understanding,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Zero,0.25,,Us,output zero feature attribution,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
ablation f importance,,,,,https://captum.ai/api/feature_ablation.html  https://deepai.org/publication/randomized-ablation-feature-importance,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
anova,0.75,1,,"Fisher (1921) also developed one of the foundations of statistical analysis called Analysis of Variance (ANOVA) including two-way ANOVA (Fisher, 1925),
Multi-way ANOVA exists to detect interactions of higher-orders combinations, not just between pairs of features.
A significant problem with individual testing methods is that they require an exponentially growing number of 
tests as the desired interaction order increases. Not only is this approach intractable, but also has a high 
chance of generating false positives or a high false discovery rate (Benjamini and Hochberg, 1995) that arises 
from multiple testing. see https://arxiv.org/pdf/2103.03103.pdf",,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/anova.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature interaction (local explanation)",False,False,True,True,True,True,,,,,,,,,,9.80180549621582
archipelago,1.0,1,tsang2020does,"seperate the input features into sets. all features inside a set interact and there is no interaaction outside a set
ArchAttribute: interaction attribution method
+ ArchDetect: a corresponding interaction detector,  to address the challenges of being interpretable, axiomatic, and scalable.
Archipelago is named after its ability to provide explanations by isolating feature interactions, or feature “islands”.
The inputs to Archipelago are a black-box model f and data instance x*, 
its outputs are a set of interactions and individual features {I} as well as an attribution score φ(I) for each of the feature sets I.",https://github.com/mtsang/archipelago/blob/main/experiments/1.%20archdetect/1.%20synthetic_performance.ipynb,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/archipelago.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature interaction (local explanation)",False,False,True,True,True,True,,,,,,,,,,0.22278923988342286
baseline_random,1.0,1,liu2021synthetic,This is not a real explainer it helps measure the baseline score and processing time.,created,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/explainer_superclass.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)
			 - Feature interaction (local explanation)",True,True,True,True,True,True,"
			 - ",False,False,False,False,False,False,False,False,0.05326265638524836
breakdown,0.25,to implement,staniak2018explanations,approximate the shapley values (see https://christophm.github.io/interpretable-ml-book/shapley.html#software-and-alternatives-4= ) implemented in liu2021synthetic see https://github.com/abacusai/xai-bench,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
exact_shapley_values,,1,-,exact_shapley_values explainer from shap,https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/ground_truth_shap.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - The model's predict function
			 - A reference dataset (input only)",False,True,False,False,False,False,False,True,831.0754036536583
kernel_shap,0.75,,lundberg2017unified,it approximates the Shapley values with a constant noise \cite{janzing2020feature},https://github.com/slundberg/shap,,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - The model's predict function
			 - A reference dataset (input only)",False,True,False,False,False,False,False,True,328.41066462853377
lime,0.5,1,ribeiro2016should,,,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/lime.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - A reference dataset (input only)
			 - The model's predict probability function
			 - The model's predict function
			 - Nature of the ML task (regression/classification)",False,True,False,True,False,True,False,True,373.85265741628757
lofo f importance,,,,,to implement. it retrain the model   https://github.com/aerdem4/lofo-importance,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
maple,0.75,1,,implemented in liu2021synthetic see https://github.com/abacusai/xai-bench,,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/maple.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - A reference dataset (input only)
			 - The train set
			 - The model's predict function
			 - AI model's structure",False,True,True,False,False,False,True,True,119.65402123507332
neural_interaction_detection,0.75,0.5,,"The modern work of Neural Interaction Detection (NID) Tsang et al. (2018a) circumvented this
problem by using the powerful inductions of feedforward neural networks. This work takes advantage of the specific structure of neural networks to avoid needing to specifying large numbers of
interactions while still not focusing on individual testing. The method traces high-strength weights
from features to common hidden units as a way to automatically detect which features have high
dependencies on one another. Later work Tsang et al. (2020a) uses NID to train a new network with
additional ‘cross-features’ from the detected interactions to actually boost the deep networks performance. Given the popularity of deep learning, the prospect of improving deep networks’ performance
through understanding feature interactions warrants further investigation into this re-emerging topic
of feature interactions. see https://arxiv.org/pdf/2103.03103.pdf ",,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/neural_interaction_detection.py,"
			 - Neural networks","
			 - Feature interaction (local explanation)",False,False,True,False,False,True,,,,,,,,,,
partition,,1,-,partition explainer from shap,https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - The model's predict function
			 - A reference dataset (input only)",False,True,False,False,False,False,False,True,4.789775069554647
permutation,,1,-,Permutation explainer from shap,https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - input_features
			 - The model's predict function
			 - A reference dataset (input only)",False,True,False,False,True,False,False,True,20.17956856580881
permutation_partition,,1,-,permutation partition explainer from shap,https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,True,True,True,"
			 - input_features
			 - The model's predict function
			 - A reference dataset (input only)",False,True,False,False,True,False,False,True,19.93779864678016
saabas,0.75,1,-,,https://github.com/andosa/treeinterpreter/,,"
			 - Tree-based ML","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,False,True,False,"
			 - AI model's structure",False,False,True,False,False,False,False,False,0.015613335829514723
sage,1.0,1,covert2020understanding,"Compute feature importance based on Shapley value but faster.
The features that are most critical for the model to make good predictions will have large values ϕ_i(v_f) > 0
While unimportant features will have small values ϕ_i(v_f)≈0
And only features that make the model's performance worse will have negative values ϕ_i(v_f)<0. 
These are SAGE values, and that's SAGE in a nutshell.

Permutation tests, proposed by Leo Breiman for assessing feature importance in random forest models, 
calculate how much the model performance drops when each column of the dataset is permuted [6]. 
SAGE can be viewed as modified version of a permutation test:

Instead of holding out one feature at a time, SAGE holds out larger subsets of features. (By only removing individual 
features, permutation tests may erroneously assign low importance to features with good proxies.)
SAGE draws held out features from their conditional distribution p(X_S¯ ∣ X_S =x_S ) 
rather than their marginal distribution p(X_S¯). (Using the conditional distribution simulates a feature's absence,
whereas using the marginal breaks feature dependencies and produces unlikely feature combinations.)
src: https://iancovert.com/blog/understanding-shap-sage/  

Disadvantage:
The convergence of the algorithm depends on 2 parameters: `thres` and `gap`.
The algorithm can be trapped in a potential infinite loop if we do not fine tune them.",https://github.com/iancovert/sage,,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature importance (global explanation)",False,True,False,True,True,True,"
			 - True output of the data points to explain
			 - The model's predict function
			 - A reference dataset (input only)",True,True,False,False,False,False,False,True,47.273002848905676
shap is enable to explain dummy features correctly (one hot encoding),,to implement,see https://arxiv.org/pdf/2106.03820.pdf,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
shap wrong local explanation,,to implement,,,see fig 1  in https://arxiv.org/pdf/2106.14648.pdf,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
shap_interaction,0.75,1,,SI: Shapley Interaction Index,,,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature interaction (local explanation)",False,False,True,True,True,True,,,,,,,,,,33.944657754898074
shapley_taylor_interaction,0.75,1,,STI: Shapley Taylor Interaction Index,,,"
			 - Any AI model (model agnostic xAI algorithms are independent of the AI implementation)
			 - Tree-based ML
			 - Neural networks","
			 - Feature interaction (local explanation)",False,False,True,True,True,True,,,,,,,,,,1.8051887035369873
todo,,0,,,https://arxiv.org/pdf/2006.04750.pdf,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
tree_shap,0.5,1,lundberg2018consistent,,,,"
			 - Tree-based ML","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,False,True,False,"
			 - AI model's structure
			 - A reference dataset (input only)",False,False,True,False,False,False,False,True,0.012661475401658278
tree_shap_approximation,,1,-,tree_shap_approximation explainer from shap,https://github.com/slundberg/shap,,"
			 - Tree-based ML","
			 - Feature importance (global explanation)
			 - Feature attribution (local explanation)",True,True,False,False,True,False,"
			 - AI model's structure
			 - A reference dataset (input only)",False,False,True,False,False,False,False,True,0.006411961146763393
